Drug_ID	Drug	Y
"1-(2-hydroxyethyl)-6-oxo-4-(1,2,4,5-tetrahydro-3-benzazepin-3-yl)pyrimidine-5-carbonitrile"	"C1CN(CCC2=CC=CC=C21)C3=C(C(=O)N(C=N3)CCO)C#N"	0.0
"1,2-diphenylguanidine"	"C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N"	0.0
"2-[[2-[bis(2-hydroxyethyl)amino]-4,8-di(piperidin-1-yl)pyrimido[5,4-d]pyrimidin-6-yl]-(2-hydroxyethyl)amino]ethanol"	"C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO"	0.0
"4-[3-methyl-2-piperidin-4-yl-5-[3-(trifluoromethyl)phenyl]imidazol-4-yl]-n-[(1s)-1-phenylethyl]pyridin-2-amine"	"C[C@@H](C1=CC=CC=C1)NC2=NC=CC(=C2)C3=C(N=C(N3C)C4CCNCC4)C5=CC(=CC=C5)C(F)(F)F"	0.01
"1-(propan-2-ylamino)-3-(2-prop-2-enoxyphenoxy)propan-2-ol"	"CC(C)NCC(COC1=CC=CC=C1OCC=C)O"	0.02
"4,5-bis(2-naphthalen-1-yl-2-oxoethyl)-2-phenyl-1,6a-dihydropyrrolo[2,3-c]pyrazol-3-one"	"C1=CC=C(C=C1)N2C(=O)C3=C(C(=NC3N2)CC(=O)C4=CC=CC5=CC=CC=C54)CC(=O)C6=CC=CC7=CC=CC=C76"	0.02
"3-ethyl-2-methyl-5-nitro-6-(1,2,4,5-tetrahydro-3-benzazepin-3-yl)pyrimidin-4-one"	"CCN1C(=NC(=C(C1=O)[N+](=O)[O-])N2CCC3=CC=CC=C3CC2)C"	0.04
"(2s)-2-amino-3-(4-boronophenyl)propanoic acid"	"B(C1=CC=C(C=C1)C[C@@H](C(=O)O)N)(O)O"	0.05
"3-[6-(dimethylamino)-4-methylpyridin-3-yl]-2,5-dimethyl-n,n-dipropylpyrazolo[1,5-a]pyrimidin-7-amine"	"CCCN(CCC)C1=CC(=NC2=C(C(=NN12)C)C3=CN=C(C=C3C)N(C)C)C"	0.07
"[(3ar,8br)-3,4,8b-trimethyl-2,3a-dihydro-1h-pyrrolo[2,3-b]indol-7-yl] n-methylcarbamate"	"C[C@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C"	0.08
"2-(1,2,3,4-tetrahydronaphthalen-2-yloxycarbonyl)benzoic acid"	"C1CC2=CC=CC=C2CC1OC(=O)C3=CC=CC=C3C(=O)O"	0.09
"21-methyl-3,13,21-triazapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-1,3,5,7,9,15,17,19-octaen-14-one"	"CN1C2=CC=CC=C2C(=O)N3C1=C4C(=C5C=CC=CC5=N4)CC3"	0.11
"(2r)-n-(2,6-dichlorophenyl)-2,5-dihydro-1h-imidazol-2-amine"	"C1C=N[C@H](N1)NC2=C(C=CC=C2Cl)Cl"	0.11
"5-ethyl-5-[(2r)-pentan-2-yl]-1,3-diazinane-2,4,6-trione"	"CCC[C@@H](C)C1(C(=O)NC(=O)NC1=O)CC"	0.12
"1-fluoro-2-(2-fluoroethenoxy)ethene"	"C(=CF)OC=CF"	0.13
"(2s,3r,4s,5s,6r)-2-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"	"C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O"	0.15
"2-hydroxypropanoic acid"	"CC(C(=O)O)O"	0.16
"3-[6-hydroxy-1-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-yl]benzonitrile"	"C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC=CC(=C5)C#N"	0.17
"(1s,12s,14r)-9-methoxy-11-oxa-4-azatetracyclo[8.6.1.01,12.06,17]heptadeca-6(17),7,9,15-tetraen-14-ol"	"COC1=C2C3=C(CNCC[C@]34C=C[C@@H](C[C@@H]4O2)O)C=C1"	0.18
"[(1s,2s,3r,4s,7r,9s,10s,12r,15s)-4,12-diacetyloxy-15-[(2r,3s)-3-[(4-fluorobenzoyl)amino]-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate"	"CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=C(C=C6)F)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C"	0.19
"n-[4-(methoxymethyl)-1-(2-thiophen-2-ylethyl)piperidin-4-yl]-n-phenylpropanamide"	"CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC"	0.2
"5-chloro-2-[2-[(dimethylamino)methyl]phenyl]sulfanyl-4-fluoroaniline"	"CN(C)CC1=CC=CC=C1SC2=CC(=C(C=C2N)Cl)F"	0.2
"6-[4-(4-fluorophenyl)piperidin-1-yl]-3-(2-methoxyethyl)-2-methyl-5-nitropyrimidin-4-one"	"CC1=NC(=C(C(=O)N1CCOC)[N+](=O)[O-])N2CCC(CC2)C3=CC=C(C=C3)F"	0.2
"[(1s,2s,4r,5s)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] 3-hydroxy-2-phenylpropanoate"	"CN1[C@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(CO)C4=CC=CC=C4"	0.23
"(e)-n-[2-[2-(trifluoromethyl)indol-1-yl]ethyl]-3-(3,4,5-trimethoxyphenyl)prop-2-enamide"	"COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)NCCN2C3=CC=CC=C3C=C2C(F)(F)F"	0.23
"10-[2-[(2r)-1-methylpiperidin-2-yl]ethyl]-2-methylsulfanylphenothiazine"	"CN1CCCC[C@@H]1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC"	0.24
"(5ar,9ar)-6-propyl-5a,7,8,9,9a,10-hexahydro-5h-pyrido[2,3-g]quinazolin-2-amine;dihydrochloride"	"CCCN1CCC[C@H]2[C@H]1CC3=CN=C(N=C3C2)N.Cl.Cl"	0.25
"(2r)-2-bromo-1,1,1,2-tetrafluoroethane"	"[C@@H](C(F)(F)F)(F)Br"	0.27
"(11s)-6-chloro-11-methyl-10-(3-methylbut-2-enyl)-1,3,10-triazatricyclo[6.4.1.04,13]trideca-4,6,8(13)-triene-2-thione"	"C[C@H]1CN2C3=C(CN1CC=C(C)C)C=C(C=C3NC2=S)Cl"	0.28
"9-methyl-3-[(2-methylimidazol-1-yl)methyl]-2,3-dihydro-1h-carbazol-4-one"	"CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C"	0.28
"[5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate"	"CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC"	0.3
"[(2s,3s)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate"	"CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC"	0.3
"6-[2-[4-[bis(4-fluorophenyl)methylidene]piperidin-1-yl]ethyl]-7-methyl-[1,3]thiazolo[3,2-a]pyrimidin-5-one"	"CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3"	0.3
"3-[2-oxo-8-(2-phenylethynyl)-1,3-dihydro-1,5-benzodiazepin-4-yl]benzonitrile"	"C1C(=NC2=C(C=C(C=C2)C#CC3=CC=CC=C3)NC1=O)C4=CC=CC(=C4)C#N"	0.3
"7-nitro-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one"	"C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3"	0.32
"(3-ethyl-2-methylquinolin-6-yl)-(4-methoxycyclohexyl)methanone"	"CCC1=C(N=C2C=CC(=CC2=C1)C(=O)C3CCC(CC3)OC)C"	0.33
"n-[5-amino-2-(2-methylphenyl)phenyl]-2-[3,5-bis(trifluoromethyl)phenyl]-n,2-dimethylpropanamide"	"CC1=CC=CC=C1C2=C(C=C(C=C2)N)N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F"	0.34
"(4r,4as,7ar,12bs)-4a,9-dihydroxy-3-methyl-2,4,5,6,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one"	"CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O"	0.35
"(2r)-2-bromo-2-chloro-1,1,1-trifluoroethane"	"[C@@H](C(F)(F)F)(Cl)Br"	0.35
"4-(dimethylamino)-2-[[[2-(hydroxymethyl)quinolin-8-yl]amino]methyl]phenol"	"CN(C)C1=CC(=C(C=C1)O)CNC2=CC=CC3=C2N=C(C=C3)CO"	0.38
"(2s,6s)-9-chloro-13-oxa-4-azatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),7(12),8,10,14,16-hexaene"	"C1[C@H]2[C@H](CN1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24"	0.39
"2-[2-[4-[(s)-(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]ethanol"	"C1CN(CCN1CCOCCO)[C@@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl"	0.39
"3-[(2s)-1-methylpyrrolidin-2-yl]pyridine"	"CN1CCC[C@H]1C2=CN=CC=C2"	0.4
"3-(n-ethylanilino)propanenitrile"	"CCN(CCC#N)C1=CC=CC=C1"	0.42
"(2r)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane"	"[C@@H](C(F)(F)F)(OC(F)F)Cl"	0.42
"3-(2-phenylethylamino)propanenitrile"	"C1=CC=C(C=C1)CCNCCC#N"	0.42
"5-cycloheptyl-13-(dimethylamino)-8-thia-3,5,10-triazatricyclo[7.4.0.02,7]trideca-1(13),2(7),3,9,11-pentaen-6-one"	"CN(C)C1=C2C3=C(C(=O)N(C=N3)C4CCCCCC4)SC2=NC=C1"	0.43
"n-[4-[4-[3-(trifluoromethyl)phenoxy]piperidin-1-yl]butyl]quinoline-4-carboxamide"	"C1CN(CCC1OC2=CC=CC(=C2)C(F)(F)F)CCCCNC(=O)C3=CC=NC4=CC=CC=C34"	0.48
"(1r)-1,13-dimethyl-10-(3-methylbut-2-enyl)-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol"	"CC1C2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O"	0.51
"5-(2-chlorophenyl)-7-ethyl-1-methyl-3h-thieno[2,3-e][1,4]diazepin-2-one"	"CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C"	0.51
"(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(e,1r,2r)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone"	"CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C"	0.52
"(4ar,7s,7ar)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol"	"CN1CCC23[C@@H]4C1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O"	0.55
"(4r,4ar,7r,7ar,12bs)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol"	"CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@@H](C=C4)O"	0.55
"9-ethyl-4,6,9,10,11-pentahydroxy-7-(5-hydroxy-6-methyl-4-morpholin-4-yloxan-2-yl)oxy-8,10-dihydro-7h-tetracene-5,12-dione"	"CCC1(CC(C2=C(C1O)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)OC5CC(C(C(O5)C)O)N6CCOCC6)O"	0.56
"(7s,9r,10r)-9-ethyl-4,6,9,10,11-pentahydroxy-7-[(2r,4s,5s,6s)-5-hydroxy-6-methyl-4-morpholin-4-yloxan-2-yl]oxy-8,10-dihydro-7h-tetracene-5,12-dione"	"CC[C@]1(C[C@@H](C2=C([C@H]1O)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)N6CCOCC6)O"	0.56
"n-(2-amino-5-phenylphenyl)-4-[(4-methylpiperazin-1-yl)methyl]benzamide"	"CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=C(C=CC(=C3)C4=CC=CC=C4)N"	0.56
"2-(aminomethyl)-6-methoxyphenol"	"COC1=CC=CC(=C1O)CN"	0.56
"(4r,4ar,7ar,12bs)-9-methoxy-3-methyl-1,2,4,4a,7a,11a,12a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one"	"CN1CC[C@]23[C@@H]4[C@H]1CC5C2C(=C(C=C5)OC)O[C@H]3C(=O)C=C4"	0.57
"1-[4-[1,3-benzothiazol-2-yl(methyl)amino]piperidin-1-yl]-3-(3,4-difluorophenoxy)propan-2-ol"	"CN(C1CCN(CC1)CC(COC2=CC(=C(C=C2)F)F)O)C3=NC4=CC=CC=C4S3"	0.59
"(2s)-1-[4-[1,3-benzothiazol-2-yl(methyl)amino]piperidin-1-yl]-3-(3,4-difluorophenoxy)propan-2-ol"	"CN(C1CCN(CC1)C[C@@H](COC2=CC(=C(C=C2)F)F)O)C3=NC4=CC=CC=C4S3"	0.59
"n-(2-aminophenyl)-4-[(dimethylamino)methyl]benzamide"	"CN(C)CC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N"	0.6
"2-methyl-6-oxo-4-(1,2,4,5-tetrahydro-3-benzazepin-3-yl)-1-(2,2,2-trifluoroethyl)pyrimidine-5-carbonitrile"	"CC1=NC(=C(C(=O)N1CC(F)(F)F)C#N)N2CCC3=CC=CC=C3CC2"	0.6
"(3s)-7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one"	"C1=CC=C(C=C1)C2=N[C@H](C(=O)NC3=C2C=C(C=C3)Cl)O"	0.61
"2-[[2-[[1-(2-aminoethyl)piperidin-4-yl]amino]-4-methylbenzimidazol-1-yl]methyl]-6-methylpyridin-3-ol"	"CC1=C2C(=CC=C1)N(C(=N2)NC3CCN(CC3)CCN)CC4=C(C=CC(=N4)C)O"	0.63
"n-[[3,5-bis(trifluoromethyl)phenyl]methyl]-n-methyl-4-(2-methylphenyl)pyridine-3-carboxamide"	"CC1=CC=CC=C1C2=C(C=NC=C2)C(=O)N(C)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F"	0.68
"2-[5-[3-[(dimethylamino)methyl]phenyl]-3-(4-methoxyphenyl)-1,2,4-triazol-1-yl]ethanol"	"CN(C)CC1=CC(=CC=C1)C2=NC(=NN2CCO)C3=CC=C(C=C3)OC"	0.71
"6-(3-fluorophenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol"	"C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC(=CC=C5)F"	0.73
"n-hexyl-2,2-diphenylacetamide"	"CCCCCCNC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2"	0.74
"n-[3-(aminomethyl)phenyl]naphthalene-2-carboxamide"	"C1=CC=C2C=C(C=CC2=C1)C(=O)NC3=CC=CC(=C3)CN"	0.74
"(1r,5s)-3-[bis(4-fluorophenyl)methoxy]-8-butyl-8-azabicyclo[3.2.1]octane"	"CCCCN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F"	0.75
"2-[(z)-1-(4-methylphenyl)-3-pyrrolidin-1-ylprop-1-enyl]pyridine"	"CC1=CC=C(C=C1)/C(=C/CN2CCCC2)/C3=CC=CC=N3"	0.77
"n-[4-[4-(2-methoxyphenyl)piperazin-1-yl]butyl]naphthalene-2-carboxamide"	"COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3"	0.78
"(1r,2s)-2-(4-fluorophenyl)cyclopropan-1-amine"	"C1[C@H]([C@@H]1N)C2=CC=C(C=C2)F"	0.81
"3-(9h-acridin-10-yl)-n,n-dimethylpropan-1-amine"	"CN(C)CCCN1C2=CC=CC=C2CC3=CC=CC=C31"	0.83
"[(1s,3s,7s,8s,8ar)-8-[2-[(2r,4r)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] (2s)-2-methylbutanoate"	"CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C"	0.85
"n-(2-amino-5-phenylphenyl)-4-[(dimethylamino)methyl]benzamide"	"CN(C)CC1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)C3=CC=CC=C3)N"	0.88
"n-[[3,5-bis(trifluoromethyl)phenyl]methyl]-4-(2-chlorophenyl)-n-methylpyridine-3-carboxamide"	"CN(CC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(=O)C2=C(C=CN=C2)C3=CC=CC=C3Cl"	0.89
"n-[4-[2-[4-(2,3-dichlorophenyl)piperazin-1-yl]ethyl]cyclohexyl]propanamide"	"CCC(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl"	0.9
"(3r)-3-methylhexane"	"CCC[C@H](C)CC"	0.9
"2-[[2-(4-methoxyphenyl)quinolin-4-yl]amino]ethanol"	"COC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)NCCO"	0.9
"1-[2-(3,4-dimethoxyphenyl)ethyl]-4-[3-(2-iodophenyl)propyl]piperazine"	"COC1=C(C=C(C=C1)CCN2CCN(CC2)CCCC3=CC=CC=C3I)OC"	0.9
"6-(3,4-difluorophenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol"	"C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC(=C(C=C5)F)F"	0.92
"(2s,3s)-n-[(5-tert-butyl-2-methoxyphenyl)methyl]-2-phenylpiperidin-3-amine"	"CC(C)(C)C1=CC(=C(C=C1)OC)CN[C@H]2CCCN[C@H]2C3=CC=CC=C3"	0.98
"n-[4-[2-[4-(2,3-dichlorophenyl)piperazin-1-yl]ethyl]cyclohexyl]methanesulfonamide"	"CS(=O)(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl"	1.0
"3-(2-chloro-5,6-dihydrobenzo[b][1]benzazepin-11-yl)-n,n-dimethylpropan-1-amine"	"CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl"	1.04
"4-bromo-n-[4-[4-[3-(trifluoromethyl)phenoxy]piperidin-1-yl]butyl]benzamide"	"C1CN(CCC1OC2=CC=CC(=C2)C(F)(F)F)CCCCNC(=O)C3=CC=C(C=C3)Br"	1.04
"n-[4-[2-[4-(2,3-dichlorophenyl)piperazin-1-yl]ethyl]cyclohexyl]acetamide"	"CC(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl"	1.08
"(2r,3s)-n-[[2-methoxy-5-(trifluoromethoxy)phenyl]methyl]-2-phenylpiperidin-3-amine"	"COC1=C(C=C(C=C1)OC(F)(F)F)CN[C@H]2CCCN[C@@H]2C3=CC=CC=C3"	1.11
"(2s,3s)-n-[[2-methoxy-5-(trifluoromethoxy)phenyl]methyl]-2-phenylpiperidin-3-amine"	"COC1=C(C=C(C=C1)OC(F)(F)F)CN[C@H]2CCCN[C@H]2C3=CC=CC=C3"	1.11
"(1s,9r)-1-methyl-16-azatetracyclo[7.6.1.02,7.010,15]hexadeca-2,4,6,10,12,14-hexaene"	"C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24"	1.11
"2-(5-oxofuran-2-ylidene)acetic acid"	"C1=CC(=O)OC1=CC(=O)O"	1.11
"4-bromo-n-[4-[4-[3-(trifluoromethyl)anilino]piperidin-1-yl]butyl]benzamide"	"C1CN(CCC1NC2=CC=CC(=C2)C(F)(F)F)CCCCNC(=O)C3=CC=C(C=C3)Br"	1.18
"6-(4-fluorophenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol"	"C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC=C(C=C5)F"	1.25
"1-[3-[5-(4-methoxyphenyl)-2-methyl-1,2,4-triazol-3-yl]phenyl]-n,n-dimethylmethanamine"	"CN1C(=NC(=N1)C2=CC=C(C=C2)OC)C3=CC=CC(=C3)CN(C)C"	1.26
"1-cyclohexyl-1-phenyl-3-piperidin-1-ylpropan-1-ol"	"C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O"	1.32
"1-(4-iodophenyl)-4-propan-2-ylpiperazine"	"CC(C)N1CCN(CC1)C2=CC=C(C=C2)I"	1.38
"1-[3-[2-(methoxymethyl)-5-(4-methoxyphenyl)-1,2,4-triazol-3-yl]phenyl]-n,n-dimethylmethanamine"	"CN(C)CC1=CC(=CC=C1)C2=NC(=NN2COC)C3=CC=C(C=C3)OC"	1.38
"4-[4-(4-chlorophenyl)-1,4-diazepan-1-yl]-1-(4-fluorophenyl)butan-1-one"	"C1CN(CCN(C1)C2=CC=C(C=C2)Cl)CCCC(=O)C3=CC=C(C=C3)F"	1.48
"3-(4-chlorophenyl)-n,n-dimethyl-3-pyridin-2-ylpropan-1-amine"	"CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2"	1.53
"2-hydroxy-5-[[4-(pyridin-2-ylsulfamoyl)phenyl]diazenyl]benzoic acid"	"C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O"	-2.69
"5-chloro-7-iodoquinolin-8-ol"	"C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1"	-2.4
"2-[2-[(3-bromopyridin-2-yl)methylsulfanyl]ethyl]-1-cyano-3-ethylguanidine"	"CCNC(=NCCSCC1=C(C=CC=N1)Br)NC#N"	-2.15
"n-(6,7-dichloro-2,3-dioxo-1,4-dihydroquinoxalin-5-yl)-n-(2-hydroxyethyl)methanesulfonamide"	"CS(=O)(=O)N(CCO)C1=C2C(=CC(=C1Cl)Cl)NC(=O)C(=O)N2"	-2.15
"1-[(e)-(5-nitrofuran-2-yl)methylideneamino]imidazolidine-2,4-dione"	"C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]"	-2.09
"7-chloro-4-hydroxy-3-(3-phenoxyphenyl)-1h-quinolin-2-one"	"C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C(C4=C(C=C(C=C4)Cl)NC3=O)O"	-2.03
"5-[(7,8-dihydroxy-2-methyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl)oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5h-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one"	"CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O"	-2.0
"2-[4-(3-methoxypyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1h-pyrimidin-6-one"	"CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCCCC3=C(C=CC=N3)OC"	-2.0
"2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1h-pyrimidin-6-one"	"CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCCCC3=NC=C(C=C3C)Br"	-1.9
"7-[[4-(2-amino-1-carboxy-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"	"CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O"	-1.89
"disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate"	"CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)[O-])S4)OC)SC2)C(=O)[O-].[Na+].[Na+]"	-1.89
"n-phenyl-4,5-dihydro-1h-imidazol-2-amine"	"C1CN=C(N1)NC2=CC=CC=C2"	-1.89
"7-chloro-3-[5-(1,2-dihydroxypropan-2-yl)-1,2,4-oxadiazol-3-yl]-5-methyl-4h-imidazo[1,5-a][1,4]benzodiazepin-6-one"	"CC(CO)(C1=NC(=NO1)C2=C3CN(C(=O)C4=C(N3C=N2)C=CC=C4Cl)C)O"	-1.82
"[6-hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]-[4-(2-piperidin-1-ylethoxy)phenyl]methanone"	"C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O"	-1.81
"3-ethoxycarbonyl-1,3-thiazolidine-4-carboxylic acid"	"CCOC(=O)N1CSCC1C(=O)O"	-1.72
"4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid"	"C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl"	-1.7
"2-(3-fluoro-4-phenylphenyl)propanoic acid"	"CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O"	-1.68
"hexane-1,2,3,4,5,6-hexol"	"C(C(C(C(C(CO)O)O)O)O)O"	-1.6
"n-[3-[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]phenyl]acetamide"	"CC(=O)NC1=CC=CC(=C1)C2=CSC(=N2)N=C(N)N"	-1.57
